# CSVファイルの仕様:
#   - 文字コード: UTF-8
#   - コメント: #ではじまる行
#   - 囲み文字: " ダブルクォーテーション
#   - 編集不可の項目: 項目名に*がついたものは編集不可
#   - 1行の定義: 下記のデータタイプに合わせて1データ1行記載
#
# データタイプ: 先頭の数値はデータの種類を表しています。
#   10: データソース
#   20: メタデータ
#   30: メタデータのカラム
# 
# データタイプごとの定義: データタイプによって指定できる項目が異なります。
#   10: データソース
#     - Type*:       データタイプ
#     - ID*:         データソースID
#     - Name:        データソース名
#     - Description: データソースの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    データソースの言語
#       - ja:        日本語
#       - en:        英語
#
#   20: メタデータ
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       メタデータ名
#     - Alias:       メタデータの別名
#     - Description: メタデータの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    メタデータの言語
#       - ja:          日本語
#       - en:          英語
#     - MetaType*:   メタデータタイプ
#       - Table:       テーブル形式のメタデータ
#       - Model:       モデル形式のメタデータ
#       - Stream:      ストリーム形式のメタデータ
#       - File:        ファイル形式のメタデータ
#
#   30: メタデータのカラム
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       カラム名
#     - Alias:       カラムの別名
#     - Description: カラムの説明。改行やカンマを含む場合は " で囲んでください。
#     - DataType*:   カラムの型
#     - ColumnType*: カラムの種類
#       - Nullable:    任意
#       - Required:    必須
#       - Repeated:    複数
#     - Constraint*: キーの制約
#       - Primary:     主キー
#

10,31763ee8-8f14-449a-954e-24cca370e270,PostgreSQL,"公開されているソースコードからデータベースを構築しました。
https://www.orca.med.or.jp/receipt/tec/",ja

20,1e650aa3-0cc6-4f56-9712-ec3d555acf69,tbl_chk004,チェックマスタ４,,ja,Table
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,kanricd,,,character,Required,Primary
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,kbncd,,,character,Required,Primary
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,styukymd,,,character,Required,Primary
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,edyukymd,,,character,Required,Primary
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,kanritbl,,,character varying,Nullable,
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,termid,,,character varying,Nullable,
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,opid,,,character varying,Nullable,
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,creymd,,,character,Nullable,
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,upymd,,,character,Nullable,
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,uphms,,,character,Nullable,
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,ptid,,,numeric,Nullable,
30,1e650aa3-0cc6-4f56-9712-ec3d555acf69,hospnum,,,numeric,Required,Primary

20,26f387de-0cd3-465b-9e83-fd04b82b33f9,tbl_chk005,チェック5,,ja,Table
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,chkkbn,,,character,Required,Primary
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,id,,,integer,Required,Primary
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,yukostymd,,,character,Required,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,yukoedymd,,,character,Required,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,cdkbn,,,character,Required,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,rennum,,,integer,Required,Primary
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,srycd,,,character,Required,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,cd,,,character varying,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,byomei,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,compkbn,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,byomeihenflg,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,nyugaikbn,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,nyugaibndkbn,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,daymonthkbn,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,termid,,,character varying,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,opid,,,character varying,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,creymd,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,upymd,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,uphms,,,character,Nullable,
30,26f387de-0cd3-465b-9e83-fd04b82b33f9,hospnum,,,numeric,Required,Primary

20,3c5cd216-007a-4d0e-9692-b497c7298894,tbl_chkreigai,,,ja,Table
30,3c5cd216-007a-4d0e-9692-b497c7298894,hospnum,,,smallint,Required,Primary
